Product;Date;UNIT;Year;Month;Market_Name;Price
Maize;2006/01/30;100KG;2006;1;ACCRA;28.2
Maize;2006/01/30;100KG;2006;1;TEMA;28.78
Maize;2006/01/30;100KG;2006;1;SEKONDI/TAKORADI;36.46
Maize;2006/01/30;100KG;2006;1;KOFORIDUA;35.25
Maize;2006/01/30;100KG;2006;1;CAPE COAST;42.1
Maize;2006/01/30;100KG;2006;1;MANKESSIM;37.5
Maize;2006/01/30;100KG;2006;1;KUMASI;25.4
Maize;2006/01/30;100KG;2006;1;EJURA;NA
Maize;2006/01/30;100KG;2006;1;OBUASI;36
Maize;2006/01/30;100KG;2006;1;SUNYANI;16.8
Maize;2006/01/30;100KG;2006;1;TECHIMAN;16.15
Maize;2006/01/30;100KG;2006;1;HO;28.41
Maize;2006/01/30;100KG;2006;1;TAMALE;20.75
Maize;2006/01/30;100KG;2006;1;BOLGATANGA;22
Maize;2006/01/30;100KG;2006;1;WA;21.4
Rice-local;2006/01/30;50KG;2006;1;ACCRA;26
Rice-local;2006/01/30;50KG;2006;1;TEMA;26.25
Rice-local;2006/01/30;50KG;2006;1;SEKONDI/TAKORADI;34.5
Rice-local;2006/01/30;50KG;2006;1;KOFORIDUA;25.25
Rice-local;2006/01/30;50KG;2006;1;CAPE COAST;36.6
Rice-local;2006/01/30;50KG;2006;1;MANKESSIM;32.65
Rice-local;2006/01/30;50KG;2006;1;KUMASI;33.06
Rice-local;2006/01/30;50KG;2006;1;EJURA;NA
Rice-local;2006/01/30;50KG;2006;1;OBUASI;19.3
Rice-local;2006/01/30;50KG;2006;1;SUNYANI;30
Rice-local;2006/01/30;50KG;2006;1;TECHIMAN;21.56
Rice-local;2006/01/30;50KG;2006;1;HO;32
Rice-local;2006/01/30;50KG;2006;1;TAMALE;20
Rice-local;2006/01/30;50KG;2006;1;BOLGATANGA;28.5
Rice-local;2006/01/30;50KG;2006;1;WA;26.07
Millet;2006/01/30;93KG;2006;1;ACCRA;50.23
Millet;2006/01/30;93KG;2006;1;TEMA;51.25
Millet;2006/01/30;93KG;2006;1;SEKONDI/TAKORADI;51.25
Millet;2006/01/30;93KG;2006;1;KOFORIDUA;49
Millet;2006/01/30;93KG;2006;1;CAPE COAST;58
Millet;2006/01/30;93KG;2006;1;MANKESSIM;53.63
Millet;2006/01/30;93KG;2006;1;KUMASI;43.25
Millet;2006/01/30;93KG;2006;1;EJURA;NA
Millet;2006/01/30;93KG;2006;1;OBUASI;38.6
Millet;2006/01/30;93KG;2006;1;SUNYANI;42
Millet;2006/01/30;93KG;2006;1;TECHIMAN;32.5
Millet;2006/01/30;93KG;2006;1;HO;NA
Millet;2006/01/30;93KG;2006;1;TAMALE;30
Millet;2006/01/30;93KG;2006;1;BOLGATANGA;27.25
Millet;2006/01/30;93KG;2006;1;WA;30.85
Sorghum;2006/01/30;109KG;2006;1;ACCRA;47.95
Sorghum;2006/01/30;109KG;2006;1;TEMA;60
Sorghum;2006/01/30;109KG;2006;1;SEKONDI/TAKORADI;50
Sorghum;2006/01/30;109KG;2006;1;KOFORIDUA;50.5
Sorghum;2006/01/30;109KG;2006;1;CAPE COAST;NA
Sorghum;2006/01/30;109KG;2006;1;MANKESSIM;NA
Sorghum;2006/01/30;109KG;2006;1;KUMASI;38.25
Sorghum;2006/01/30;109KG;2006;1;EJURA;NA
Sorghum;2006/01/30;109KG;2006;1;OBUASI;NA
Sorghum;2006/01/30;109KG;2006;1;SUNYANI;40
Sorghum;2006/01/30;109KG;2006;1;TECHIMAN;34.5
Sorghum;2006/01/30;109KG;2006;1;HO;44
Sorghum;2006/01/30;109KG;2006;1;TAMALE;21
Sorghum;2006/01/30;109KG;2006;1;BOLGATANGA;25
Sorghum;2006/01/30;109KG;2006;1;WA;31.13
Cowpea;2006/01/30;109KG;2006;1;ACCRA;61.45
Cowpea;2006/01/30;109KG;2006;1;TEMA;52
Cowpea;2006/01/30;109KG;2006;1;SEKONDI/TAKORADI;56.65
Cowpea;2006/01/30;109KG;2006;1;KOFORIDUA;61.25
Cowpea;2006/01/30;109KG;2006;1;CAPE COAST;76.48
Cowpea;2006/01/30;109KG;2006;1;MANKESSIM;75.48
Cowpea;2006/01/30;109KG;2006;1;KUMASI;47.85
Cowpea;2006/01/30;109KG;2006;1;EJURA;NA
Cowpea;2006/01/30;109KG;2006;1;OBUASI;NA
Cowpea;2006/01/30;109KG;2006;1;SUNYANI;52
Cowpea;2006/01/30;109KG;2006;1;TECHIMAN;42.75
Cowpea;2006/01/30;109KG;2006;1;HO;51
Cowpea;2006/01/30;109KG;2006;1;TAMALE;39.75
Cowpea;2006/01/30;109KG;2006;1;BOLGATANGA;49.25
Cowpea;2006/01/30;109KG;2006;1;WA;46.7
Maize;2006/02/28;100KG;2006;2;ACCRA;27.05
Maize;2006/02/28;100KG;2006;2;TEMA;28.93
Maize;2006/02/28;100KG;2006;2;SEKONDI/TAKORADI;33.35
Maize;2006/02/28;100KG;2006;2;KOFORIDUA;30.75
Maize;2006/02/28;100KG;2006;2;CAPE COAST;37.68
Maize;2006/02/28;100KG;2006;2;MANKESSIM;37.5
Maize;2006/02/28;100KG;2006;2;KUMASI;21.75
Maize;2006/02/28;100KG;2006;2;EJURA;NA
Maize;2006/02/28;100KG;2006;2;OBUASI;36
Maize;2006/02/28;100KG;2006;2;SUNYANI;16.2
Maize;2006/02/28;100KG;2006;2;TECHIMAN;14.91
Maize;2006/02/28;100KG;2006;2;HO;26.68
Maize;2006/02/28;100KG;2006;2;TAMALE;20
Maize;2006/02/28;100KG;2006;2;BOLGATANGA;24.25
Maize;2006/02/28;100KG;2006;2;WA;21.4
Rice-local;2006/02/28;50KG;2006;2;ACCRA;28
Rice-local;2006/02/28;50KG;2006;2;TEMA;29.38
Rice-local;2006/02/28;50KG;2006;2;SEKONDI/TAKORADI;34.5
Rice-local;2006/02/28;50KG;2006;2;KOFORIDUA;25.75
Rice-local;2006/02/28;50KG;2006;2;CAPE COAST;37.6
Rice-local;2006/02/28;50KG;2006;2;MANKESSIM;32.75
Rice-local;2006/02/28;50KG;2006;2;KUMASI;33.63
Rice-local;2006/02/28;50KG;2006;2;EJURA;NA
Rice-local;2006/02/28;50KG;2006;2;OBUASI;NA
Rice-local;2006/02/28;50KG;2006;2;SUNYANI;30
Rice-local;2006/02/28;50KG;2006;2;TECHIMAN;22.38
Rice-local;2006/02/28;50KG;2006;2;HO;32
Rice-local;2006/02/28;50KG;2006;2;TAMALE;19
Rice-local;2006/02/28;50KG;2006;2;BOLGATANGA;28.34
Rice-local;2006/02/28;50KG;2006;2;WA;28.55
Millet;2006/02/28;93KG;2006;2;ACCRA;54.38
Millet;2006/02/28;93KG;2006;2;TEMA;53.25
Millet;2006/02/28;93KG;2006;2;SEKONDI/TAKORADI;50
Millet;2006/02/28;93KG;2006;2;KOFORIDUA;48
Millet;2006/02/28;93KG;2006;2;CAPE COAST;56.95
Millet;2006/02/28;93KG;2006;2;MANKESSIM;53.65
Millet;2006/02/28;93KG;2006;2;KUMASI;40.25
Millet;2006/02/28;93KG;2006;2;EJURA;NA
Millet;2006/02/28;93KG;2006;2;OBUASI;38.6
Millet;2006/02/28;93KG;2006;2;SUNYANI;42
Millet;2006/02/28;93KG;2006;2;TECHIMAN;36
Millet;2006/02/28;93KG;2006;2;HO;52
Millet;2006/02/28;93KG;2006;2;TAMALE;29
Millet;2006/02/28;93KG;2006;2;BOLGATANGA;28
Millet;2006/02/28;93KG;2006;2;WA;28.6
Sorghum;2006/02/28;109KG;2006;2;ACCRA;50
Sorghum;2006/02/28;109KG;2006;2;TEMA;60
Sorghum;2006/02/28;109KG;2006;2;SEKONDI/TAKORADI;50
Sorghum;2006/02/28;109KG;2006;2;KOFORIDUA;48
Sorghum;2006/02/28;109KG;2006;2;CAPE COAST;NA
Sorghum;2006/02/28;109KG;2006;2;MANKESSIM;NA
Sorghum;2006/02/28;109KG;2006;2;KUMASI;35
Sorghum;2006/02/28;109KG;2006;2;EJURA;NA
Sorghum;2006/02/28;109KG;2006;2;OBUASI;NA
Sorghum;2006/02/28;109KG;2006;2;SUNYANI;40
Sorghum;2006/02/28;109KG;2006;2;TECHIMAN;32
Sorghum;2006/02/28;109KG;2006;2;HO;44
Sorghum;2006/02/28;109KG;2006;2;TAMALE;21.75
Sorghum;2006/02/28;109KG;2006;2;BOLGATANGA;25
Sorghum;2006/02/28;109KG;2006;2;WA;30.18
Cowpea;2006/02/28;109KG;2006;2;ACCRA;60
Cowpea;2006/02/28;109KG;2006;2;TEMA;55
Cowpea;2006/02/28;109KG;2006;2;SEKONDI/TAKORADI;55.2
Cowpea;2006/02/28;109KG;2006;2;KOFORIDUA;60
Cowpea;2006/02/28;109KG;2006;2;CAPE COAST;75.4
Cowpea;2006/02/28;109KG;2006;2;MANKESSIM;71.3
Cowpea;2006/02/28;109KG;2006;2;KUMASI;49.38
Cowpea;2006/02/28;109KG;2006;2;EJURA;NA
Cowpea;2006/02/28;109KG;2006;2;OBUASI;NA
Cowpea;2006/02/28;109KG;2006;2;SUNYANI;52
Cowpea;2006/02/28;109KG;2006;2;TECHIMAN;43
Cowpea;2006/02/28;109KG;2006;2;HO;48.7
Cowpea;2006/02/28;109KG;2006;2;TAMALE;29
Cowpea;2006/02/28;109KG;2006;2;BOLGATANGA;49.25
Cowpea;2006/02/28;109KG;2006;2;WA;46.7
Maize;2006/03/30;100KG;2006;3;ACCRA;25.9
Maize;2006/03/30;100KG;2006;3;TEMA;27.8
Maize;2006/03/30;100KG;2006;3;SEKONDI/TAKORADI;33.9
Maize;2006/03/30;100KG;2006;3;KOFORIDUA;25
Maize;2006/03/30;100KG;2006;3;CAPE COAST;37.43
Maize;2006/03/30;100KG;2006;3;MANKESSIM;34
Maize;2006/03/30;100KG;2006;3;KUMASI;21.21
Maize;2006/03/30;100KG;2006;3;EJURA;NA
Maize;2006/03/30;100KG;2006;3;OBUASI;31.5
Maize;2006/03/30;100KG;2006;3;SUNYANI;16
Maize;2006/03/30;100KG;2006;3;TECHIMAN;14.37
Maize;2006/03/30;100KG;2006;3;HO;27.4
Maize;2006/03/30;100KG;2006;3;TAMALE;17.67
Maize;2006/03/30;100KG;2006;3;BOLGATANGA;24
Maize;2006/03/30;100KG;2006;3;WA;21.4
Rice-local;2006/03/30;50KG;2006;3;ACCRA;27.7
Rice-local;2006/03/30;50KG;2006;3;TEMA;29.67
Rice-local;2006/03/30;50KG;2006;3;SEKONDI/TAKORADI;34.67
Rice-local;2006/03/30;50KG;2006;3;KOFORIDUA;26
Rice-local;2006/03/30;50KG;2006;3;CAPE COAST;37.6
Rice-local;2006/03/30;50KG;2006;3;MANKESSIM;33.35
Rice-local;2006/03/30;50KG;2006;3;KUMASI;36.67
Rice-local;2006/03/30;50KG;2006;3;EJURA;NA
Rice-local;2006/03/30;50KG;2006;3;OBUASI;19.3
Rice-local;2006/03/30;50KG;2006;3;SUNYANI;30
Rice-local;2006/03/30;50KG;2006;3;TECHIMAN;17.9
Rice-local;2006/03/30;50KG;2006;3;HO;32
Rice-local;2006/03/30;50KG;2006;3;TAMALE;22.67
Rice-local;2006/03/30;50KG;2006;3;BOLGATANGA;30
Rice-local;2006/03/30;50KG;2006;3;WA;28.58
Millet;2006/03/30;93KG;2006;3;ACCRA;36.57
Millet;2006/03/30;93KG;2006;3;TEMA;52.67
Millet;2006/03/30;93KG;2006;3;SEKONDI/TAKORADI;50
Millet;2006/03/30;93KG;2006;3;KOFORIDUA;50.67
Millet;2006/03/30;93KG;2006;3;CAPE COAST;56.95
Millet;2006/03/30;93KG;2006;3;MANKESSIM;58
Millet;2006/03/30;93KG;2006;3;KUMASI;39.67
Millet;2006/03/30;93KG;2006;3;EJURA;NA
Millet;2006/03/30;93KG;2006;3;OBUASI;NA
Millet;2006/03/30;93KG;2006;3;SUNYANI;42
Millet;2006/03/30;93KG;2006;3;TECHIMAN;40
Millet;2006/03/30;93KG;2006;3;HO;52
Millet;2006/03/30;93KG;2006;3;TAMALE;28.67
Millet;2006/03/30;93KG;2006;3;BOLGATANGA;29.33
Millet;2006/03/30;93KG;2006;3;WA;28.6
Sorghum;2006/03/30;109KG;2006;3;ACCRA;48.4
Sorghum;2006/03/30;109KG;2006;3;TEMA;60
Sorghum;2006/03/30;109KG;2006;3;SEKONDI/TAKORADI;50
Sorghum;2006/03/30;109KG;2006;3;KOFORIDUA;50
Sorghum;2006/03/30;109KG;2006;3;CAPE COAST;NA
Sorghum;2006/03/30;109KG;2006;3;MANKESSIM;53.65
Sorghum;2006/03/30;109KG;2006;3;KUMASI;39
Sorghum;2006/03/30;109KG;2006;3;EJURA;NA
Sorghum;2006/03/30;109KG;2006;3;OBUASI;NA
Sorghum;2006/03/30;109KG;2006;3;SUNYANI;41.33
Sorghum;2006/03/30;109KG;2006;3;TECHIMAN;36.83
Sorghum;2006/03/30;109KG;2006;3;HO;44
Sorghum;2006/03/30;109KG;2006;3;TAMALE;20
Sorghum;2006/03/30;109KG;2006;3;BOLGATANGA;25.67
Sorghum;2006/03/30;109KG;2006;3;WA;29.2
Cowpea;2006/03/30;109KG;2006;3;ACCRA;61.17
Cowpea;2006/03/30;109KG;2006;3;TEMA;41
Cowpea;2006/03/30;109KG;2006;3;SEKONDI/TAKORADI;54.33
Cowpea;2006/03/30;109KG;2006;3;KOFORIDUA;60
Cowpea;2006/03/30;109KG;2006;3;CAPE COAST;75.4
Cowpea;2006/03/30;109KG;2006;3;MANKESSIM;66.33
Cowpea;2006/03/30;109KG;2006;3;KUMASI;49.5
Cowpea;2006/03/30;109KG;2006;3;EJURA;NA
Cowpea;2006/03/30;109KG;2006;3;OBUASI;NA
Cowpea;2006/03/30;109KG;2006;3;SUNYANI;52
Cowpea;2006/03/30;109KG;2006;3;TECHIMAN;43.5
Cowpea;2006/03/30;109KG;2006;3;HO;54.33
Cowpea;2006/03/30;109KG;2006;3;TAMALE;28.67
Cowpea;2006/03/30;109KG;2006;3;BOLGATANGA;51.67
Cowpea;2006/03/30;109KG;2006;3;WA;46.7
Maize;2006/04/30;100KG;2006;4;ACCRA;24.65
Maize;2006/04/30;100KG;2006;4;TEMA;27.15
Maize;2006/04/30;100KG;2006;4;SEKONDI/TAKORADI;32.82
Maize;2006/04/30;100KG;2006;4;KOFORIDUA;25
Maize;2006/04/30;100KG;2006;4;CAPE COAST;35.1
Maize;2006/04/30;100KG;2006;4;MANKESSIM;34
